vehicle_id,timestamp,speed,heading,jerk_score,overspeed_flag,control_loss_flag
2945,2025-05-21 01:47:23.842822,42.03,70.78,0.49,0,0
5467,2025-05-21 01:47:28.842822,81.78,191.67,0.56,1,0
1703,2025-05-21 01:47:33.842822,49.73,78.4,0.62,0,0
8209,2025-05-21 01:47:38.842822,82.12,180.17,0.48,1,0
7923,2025-05-21 01:47:43.842822,70.97,19.58,0.73,0,0
9638,2025-05-21 01:47:48.842822,93.05,61.26,0.53,1,0
9010,2025-05-21 01:47:53.842822,62.61,129.86,0.81,0,1
8870,2025-05-21 01:47:58.842822,65.43,230.67,0.4,0,0
9026,2025-05-21 01:48:03.842822,57.47,116.6,0.31,0,0
5175,2025-05-21 01:48:08.842822,53.45,357.5,0.5,0,0
6873,2025-05-21 01:48:13.842822,28.53,235.16,0.5,0,0
3443,2025-05-21 01:48:18.842822,59.96,293.34,0.82,0,1
9460,2025-05-21 01:48:23.842822,52.83,115.15,0.78,0,0
6220,2025-05-21 01:48:28.842822,78.64,34.72,0.34,0,0
6000,2025-05-21 01:48:33.842822,84.49,346.88,0.48,1,0
1178,2025-05-21 01:48:38.842822,59.56,21.14,0.68,0,0
7325,2025-05-21 01:48:43.842822,79.99,122.22,0.88,0,1
2331,2025-05-21 01:48:48.842822,50.46,277.98,0.52,0,0
3964,2025-05-21 01:48:53.842822,70.94,60.47,0.74,0,0
8284,2025-05-21 01:48:58.842822,53.69,6.41,0.36,0,0
5645,2025-05-21 01:49:03.842822,33.27,19.87,0.42,0,0
9604,2025-05-21 01:49:08.842822,56.23,121.38,0.17,0,0
2628,2025-05-21 01:49:13.842822,46.78,236.35,0.67,0,0
8252,2025-05-21 01:49:18.842822,68.39,218.67,0.14,0,0
2877,2025-05-21 01:49:23.842822,55.65,85.96,0.37,0,0
6002,2025-05-21 01:49:28.842822,36.69,289.3,0.88,0,1
7143,2025-05-21 01:49:33.842822,76.81,280.61,0.42,0,0
3497,2025-05-21 01:49:38.842822,59.2,162.37,0.03,0,0
1710,2025-05-21 01:49:43.842822,70.51,257.01,0.26,0,0
9620,2025-05-21 01:49:48.842822,97.25,339.45,0.6,1,0
9883,2025-05-21 01:49:53.842822,51.63,352.57,0.24,0,0
7285,2025-05-21 01:49:58.842822,52.45,184.65,0.71,0,0
2058,2025-05-21 01:50:03.842822,111.35,166.67,0.47,1,0
5178,2025-05-21 01:50:08.842822,60.42,306.64,0.38,0,0
2977,2025-05-21 01:50:13.842822,66.44,185.91,0.51,0,0
5096,2025-05-21 01:50:18.842822,68.63,358.56,0.54,0,0
4954,2025-05-21 01:50:23.842822,46.84,230.42,0.31,0,0
6890,2025-05-21 01:50:28.842822,33.98,226.24,0.64,0,0
3247,2025-05-21 01:50:33.842822,83.83,153.22,0.46,1,0
5919,2025-05-21 01:50:38.842822,70.19,331.46,0.44,0,0
5693,2025-05-21 01:50:43.842822,62.1,206.8,0.69,0,0
3235,2025-05-21 01:50:48.842822,79.69,228.43,0.65,0,0
3299,2025-05-21 01:50:53.842822,77.16,157.32,0.35,0,0
4911,2025-05-21 01:50:58.842822,48.33,317.84,0.71,0,0
7277,2025-05-21 01:51:03.842822,52.08,195.19,0.68,0,0
1897,2025-05-21 01:51:08.842822,76.05,254.1,0.73,0,0
7428,2025-05-21 01:51:13.842822,90.93,82.09,0.7,1,0
7496,2025-05-21 01:51:18.842822,62.05,147.15,0.5,0,0
5776,2025-05-21 01:51:23.842822,43.28,130.66,0.58,0,0
9354,2025-05-21 01:51:28.842822,48.78,252.27,0.49,0,0
8422,2025-05-21 01:51:33.842822,78.72,210.71,0.67,0,0
2850,2025-05-21 01:51:38.842822,92.97,46.47,0.14,1,0
5621,2025-05-21 01:51:43.842822,50.17,109.41,0.61,0,0
5762,2025-05-21 01:51:48.842822,63.19,311.05,0.68,0,0
6398,2025-05-21 01:51:53.842822,64.77,28.82,0.06,0,0
3563,2025-05-21 01:51:58.842822,64.46,196.52,0.46,0,0
8088,2025-05-21 01:52:03.842822,69.14,195.82,0.12,0,0
2971,2025-05-21 01:52:08.842822,56.57,23.76,0.27,0,0
2851,2025-05-21 01:52:13.842822,53.23,85.47,0.38,0,0
4581,2025-05-21 01:52:18.842822,82.62,313.02,0.5,1,0
5697,2025-05-21 01:52:23.842822,67.44,327.96,0.31,0,0
5149,2025-05-21 01:52:28.842822,30.87,235.02,0.84,0,1
2534,2025-05-21 01:52:33.842822,76.01,31.02,0.16,0,0
1409,2025-05-21 01:52:38.842822,63.88,121.94,0.42,0,0
4819,2025-05-21 01:52:43.842822,61.82,174.21,0.41,0,0
6341,2025-05-21 01:52:48.842822,64.36,289.62,0.42,0,0
4025,2025-05-21 01:52:53.842822,67.01,342.32,0.41,0,0
8805,2025-05-21 01:52:58.842822,65.81,97.27,0.16,0,0
8307,2025-05-21 01:53:03.842822,95.77,102.33,0.7,1,0
1679,2025-05-21 01:53:08.842822,43.84,341.14,0.65,0,0
8096,2025-05-21 01:53:13.842822,86.33,308.52,0.27,1,0
8736,2025-05-21 01:53:18.842822,70.34,227.45,0.62,0,0
4404,2025-05-21 01:53:23.842822,69.1,141.82,0.76,0,0
5948,2025-05-21 01:53:28.842822,71.43,139.14,0.47,0,0
7302,2025-05-21 01:53:33.842822,55.09,314.37,0.32,0,0
6187,2025-05-21 01:53:38.842822,62.27,1.1,0.71,0,0
6731,2025-05-21 01:53:43.842822,57.96,345.1,0.29,0,0
4180,2025-05-21 01:53:48.842822,73.96,60.18,0.54,0,0
5477,2025-05-21 01:53:53.842822,71.28,275.41,0.79,0,0
8491,2025-05-21 01:53:58.842822,83.07,261.72,0.7,1,0
7162,2025-05-21 01:54:03.842822,58.03,321.48,0.88,0,1
6876,2025-05-21 01:54:08.842822,56.13,307.07,0.44,0,0
6008,2025-05-21 01:54:13.842822,48.35,177.69,0.71,0,0
2047,2025-05-21 01:54:18.842822,56.6,354.44,0.38,0,0
7585,2025-05-21 01:54:23.842822,74.06,139.27,0.33,0,0
2509,2025-05-21 01:54:28.842822,74.54,93.7,0.55,0,0
7296,2025-05-21 01:54:33.842822,77.4,86.75,0.3,0,0
7548,2025-05-21 01:54:38.842822,86.07,200.89,0.5,1,0
1602,2025-05-21 01:54:43.842822,68.41,163.62,0.5,0,0
2229,2025-05-21 01:54:48.842822,40.0,342.82,0.84,0,1
1490,2025-05-21 01:54:53.842822,66.98,219.14,0.6,0,0
5927,2025-05-21 01:54:58.842822,84.41,33.73,0.4,1,0
9249,2025-05-21 01:55:03.842822,55.61,85.62,0.27,0,0
4801,2025-05-21 01:55:08.842822,65.32,102.76,0.66,0,0
1308,2025-05-21 01:55:13.842822,51.09,247.83,0.51,0,0
8335,2025-05-21 01:55:18.842822,86.24,112.05,0.53,1,0
1039,2025-05-21 01:55:23.842822,78.14,114.99,0.38,0,0
8699,2025-05-21 01:55:28.842822,58.95,254.83,0.61,0,0
4095,2025-05-21 01:55:33.842822,94.24,175.01,0.3,1,0
7876,2025-05-21 01:55:38.842822,68.27,221.16,0.53,0,0
8203,2025-05-21 01:55:43.842822,79.07,281.61,0.86,0,1
8885,2025-05-21 01:55:48.842822,72.12,196.06,0.39,0,0
8307,2025-05-21 01:55:53.842822,77.36,358.15,0.43,0,0
6273,2025-05-21 01:55:58.842822,76.67,190.66,0.43,0,0
1325,2025-05-21 01:56:03.842822,58.47,115.31,0.61,0,0
1556,2025-05-21 01:56:08.842822,50.58,48.5,0.71,0,0
4355,2025-05-21 01:56:13.842822,69.98,52.2,0.42,0,0
4047,2025-05-21 01:56:18.842822,67.55,264.74,0.41,0,0
2866,2025-05-21 01:56:23.842822,51.66,242.06,0.17,0,0
